Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
1305,160.77777409553528,2.3015512440100188,287.6939055012524,172616343300.7514,443460666.7392578
1308,161.07105803489685,2.3122510105474103,289.03137631842634,173418825791.0558,436312795.16223836
1311,161.73519229888916,2.3364803685875026,292.06004607343783,175236027644.06268,425706973.8480834
1314,162.0292091369629,2.3472068731901725,293.40085914877153,176040515489.26294,418561850.23753846
1317,162.37251949310303,2.359731734485218,294.96646681065226,176979880086.39136,417973604.6338599
1320,163.07115292549133,2.3852197125792243,298.15246407240306,178891478443.4418,422545919.306705
1323,163.44062280654907,2.398698941883499,299.83736773543734,179902420641.26245,429190690.7783182
1326,163.7351987361908,2.409445843611438,301.1807304514297,180708438270.85785,433982238.22524875
1329,164.45198941230774,2.435596245530226,304.44953069127826,182669718414.76694,432725320.9013793
1332,164.98848342895508,2.455168952918601,306.8961191148251,184137671468.89505,425006208.13798547
1335,165.31695890426636,2.467152598892329,308.3940748615412,185036444916.92468,417037409.41627854
1338,165.73959279060364,2.482571390403529,310.32142380044115,186192854280.26468,417060391.73370343
1341,166.22241616249084,2.5001860520492882,312.523256506161,187513953903.69662,427153790.5955949
1344,166.50924515724182,2.510650325294768,313.831290661846,188298774397.1076,440696851.94863486
1347,167.25945734977722,2.5380200316997867,317.2525039624734,190351502377.484,448469791.1698979
1350,167.84418988227844,2.5593526065356276,319.91907581695347,191951445490.17206,446839332.0350122
1353,168.08056163787842,2.5679760674945147,320.9970084368143,192598205062.0886,439140376.73059237
1356,168.70497059822083,2.5907561423737007,323.8445177967126,194306710678.02756,430268752.7419733
1359,169.12731528282166,2.606164383047821,325.77054788097763,195462328728.5866,423087765.8792238
1362,169.63043403625488,2.6245194733880473,328.0649341735059,196838960504.10355,419953999.9843475
1365,170.05734872817993,2.6400944399031725,330.01180498789654,198007082992.73795,423145332.62778723
1368,170.35638570785522,2.651004092424676,331.3755115530845,198825306931.85068,431127733.89565134
1371,170.96835708618164,2.6733304117243697,334.1663014655462,200499780879.32773,437227826.9630766
1374,171.53990840911865,2.6941821014993903,336.77276268742384,202063657612.45428,435573548.13578033
1377,172.06436705589294,2.713315727061079,339.16446588263494,203498679529.58093,427779545.626845
1380,172.34078359603882,2.723400126681026,340.42501583512825,204255009501.07693,421420720.3247154
1383,172.85898995399475,2.7423056523650793,342.7882065456349,205672923927.38095,422321719.10625434
1386,173.2966058254242,2.758271025946548,344.78387824331855,206870326945.99112,429892966.7429384
1389,173.75603723526,2.775032287527693,346.8790359409616,208127421564.577,438861918.88009924
1392,174.3264775276184,2.7958434439962088,349.4804304995261,209688258299.71567,443408364.83583105
1395,174.73789525032043,2.8108530404706684,351.3566300588335,210813978035.3001,440447412.4249243
1398,175.37109375,2.833953780774233,354.2442225967792,212546533558.06747,431580506.23708797
1401,175.80047512054443,2.8496187381883065,356.20234227353825,213721405364.123,422174042.4016048
1404,176.09848427772522,2.8604908930522255,357.5613616315282,214536816978.9169,416545439.9188328
1407,176.61572647094727,2.879361243480591,359.9201554350739,215952093261.04434,413758888.9135372
1410,177.12789487838745,2.8980464889098734,362.2558111137342,217353486668.2405,409906415.9823436
1413,177.636225938797,2.916591737865294,364.5739672331618,218744380339.89706,404092891.40022284
1416,177.96706652641296,2.928661669332698,366.0827086665873,219649625199.95233,399536430.175391
1419,178.338942527771,2.9422286802097726,367.77858502622155,220667151015.73294,398799866.1502964
1422,178.87052202224731,2.9616220929528727,370.20276161910914,222121656971.46545,401157973.3102199
1425,179.33285760879517,2.978489306509669,372.3111633137087,223386697988.22516,405801529.27425754
1428,179.7220311164856,2.9926873757387233,374.0859219673404,224451553180.40424,414475464.2552434
1431,180.16737365722656,3.0089346384612234,376.11682980765295,225670097884.59174,428220245.14355063
1434,180.4971296787262,3.0209650021150454,377.6206252643807,226572375158.62842,442843974.78361756
1437,181.29454922676086,3.0500569565360633,381.2571195670079,228754271740.20474,450566880.6746484
1440,181.65527319908142,3.063217112174563,382.90213902182035,229741283413.09222,446968284.4413513
1443,182.23313641548157,3.0842990763608293,385.5373845451037,231322430727.0622,435420864.7769696
1446,182.73463940620422,3.102595219443935,387.8244024304919,232694641458.29514,424310934.9921956
1449,182.9657175540924,3.1110255557237823,388.8781944654728,233326916679.28366,419906509.17796576
1452,183.53763365745544,3.1318905536445008,391.4863192055626,234891791523.33755,421644077.3045975
1455,184.00701546669006,3.149014831866628,393.62685398332854,236176112389.9971,424079393.35551554
1458,184.50934648513794,3.167341183570654,395.9176479463317,237550588767.79907,422987060.9139526
1461,184.94193506240845,3.1831231482892557,397.890393536157,238734236121.69418,419066376.76874954
1464,185.4896364212036,3.2031047288833974,400.3880911104247,240232854666.25482,416161908.883857
1467,185.70058751106262,3.210800777351694,401.3500971689617,240810058301.37708,416994129.2113279
1470,186.35213899612427,3.234571082648418,404.3213853310523,242592831198.63138,421121058.1646898
1473,186.85113334655762,3.2527757039609138,406.5969629951142,243958177797.06854,425915099.97418123
1476,187.042498588562,3.259757209382846,407.4696511728558,244481790703.71347,428122807.9783059
1479,187.8445918560028,3.2890196733333514,411.1274591666689,246676475500.00134,425827767.72667825
1482,188.26436614990234,3.304334139420041,413.04176742750514,247825060456.50308,421037075.3395401
1485,188.59298515319824,3.316323021670704,414.54037770883804,248724226625.30283,418953721.7861199
1488,189.02782320976257,3.332187053287776,416.52338166097206,249914028996.58322,422312394.5329762
1491,189.55795097351074,3.3515275030902525,418.9409378862816,251364562731.76895,427703484.30345166
1494,189.98247361183167,3.3670152012225105,420.87690015281385,252526140091.6883,429587233.834955
1497,190.65948390960693,3.3917143107113357,423.96428883891696,254378573303.3502,427018768.59598285
1500,190.95229244232178,3.402396733168648,425.29959164608096,255179754987.6486,424331906.9463151
1503,191.3261730670929,3.4160368779601202,427.00460974501505,256202765847.00903,425245849.64829504
1506,191.96333122253418,3.4392820768805152,429.91025961006443,257946155766.03867,428539449.65924335
1509,192.30321264266968,3.4516818416060007,431.4602302007501,258876138120.45007,430469708.27441037
1512,192.96232962608337,3.4757281561048727,434.46601951310913,260679611707.86548,429586162.98955774
1515,193.26946806907654,3.486933371234752,435.866671404344,261520002842.6064,427530049.778702
1518,193.7524585723877,3.5045541302727554,438.06926628409445,262841559770.45667,426173708.0025312
1521,194.32336378097534,3.525382248103435,440.6727810129294,264403668607.75763,425828981.97368354
1524,194.64815378189087,3.5372314383149424,442.15392978936785,265292357873.6207,425990932.0548438
1527,195.23864793777466,3.5587742122677346,444.8467765334669,266908065920.0801,426105313.14185375
1530,195.6306071281433,3.573073910499622,446.63423881245274,267980543287.47162,425280007.2824843
1533,196.07042503356934,3.589119620050807,448.6399525063509,269183971503.8105,422841732.00649434
1536,196.70276379585266,3.6121889948815697,451.5236243601962,270914174616.1177,420063039.82096124
1539,197.04733896255493,3.624759999779836,453.0949999724795,271856999983.4877,419671363.20794165
1542,197.34606909751892,3.635658457802311,454.4573072252889,272674384335.1733,421832436.5481297
1545,198.0013108253479,3.6595633928239453,457.44542410299323,274467254461.7959,422459737.93628675
1548,198.49994921684265,3.6777550278217173,459.71937847771466,275831627086.6288,418402365.1123197
1551,198.93157315254211,3.693501799888362,461.6877249860453,277012634991.62714,413002339.7532446
1554,199.35213255882263,3.708844908931773,463.6056136164716,278163368169.883,413260336.87795734
1557,199.61177921295166,3.7183174991712624,464.7896873964078,278873812437.84467,421536697.30888724
1560,200.2723240852356,3.742415906797314,467.80198834966427,280681193009.7985,432642740.12785476
1563,200.74018216133118,3.759484595242215,469.9355744052769,281961344643.16614,439769338.18929315
1566,201.25028014183044,3.778094306071994,472.2617882589992,283357072955.39954,441098800.4119643
1569,201.761971950531,3.7967621639305245,474.59527049131555,284757162294.7893,439293797.8177901
1572,202.04374432563782,3.807041958442601,475.8802448053251,285528146883.19507,436399071.7580054
1575,202.7631494998932,3.8332877441036914,479.1609680129614,287496580807.77686,432022601.7400248
1578,203.19760251045227,3.849137728233638,481.1422160292048,288685329617.5229,426066601.87857616
1581,203.53759813308716,3.8615416593655216,482.6927074206902,289615624452.4141,420183776.70892483
1584,204.06975746154785,3.8809562259715875,485.1195282464484,291071716947.8691,416056899.62078035
1587,204.49979090690613,3.896644972783363,487.0806215979203,292248372958.75226,414615683.0361421
1590,205.07596254348755,3.9176652237057557,489.7081529632195,293824891777.9317,416847636.9456414
1593,205.21184849739075,3.9226226993371864,490.3278374171483,294196702450.289,422603560.051039
1596,205.97070455551147,3.9503077566064393,493.78846957580487,296273081745.4829,428777808.9092924
1599,206.29580283164978,3.9621681935057813,495.27102418822267,297162614512.93365,431664552.85825795
1602,206.9539773464203,3.9861801242792,498.2725155348999,298963509320.94,431453572.45689213
1605,207.30865812301636,3.9991198083039703,499.88997603799635,299933985622.7977,431938332.0057799
1608,207.61158108711243,4.010171231718761,501.27140396484515,300762842378.90704,435378933.39092803
1611,208.39363598823547,4.038702643563729,504.83783044546607,302902698267.27966,439833105.33226264
1614,208.6735019683838,4.048912887792799,506.1141109740999,303668466584.45996,441737478.2238036
1617,209.27859592437744,4.070988300706348,508.8735375882936,305324122552.9761,438730630.8359206
1620,209.7041687965393,4.086514314120827,510.8142892651034,306488573559.0621,429945696.7050357
1623,210.1889615058899,4.104200822357086,513.0251027946357,307815061676.78143,416934826.4823735
1626,210.81016445159912,4.126863933422416,515.857991677802,309514795006.6812,405578031.91031426
1629,210.9951512813568,4.133612737653593,516.7015922066992,310020955324.0194,403624068.6987306
1632,211.38400411605835,4.147799107891822,518.4748884864778,311084933091.8866,413239219.8222141
1635,211.8921389579773,4.166337198282595,520.7921497853245,312475289871.19464,427680867.59411126
1638,212.4686667919159,4.187370444217846,523.4213055272307,314052783316.33844,438107423.14245814
1641,213.0656361579895,4.209149450803978,526.1436813504972,315686208810.2984,442496129.58803105
1644,213.2695496082306,4.2165887477397845,527.0735934674731,316244156080.4838,445362575.105867
1647,213.98254013061523,4.242600510093684,530.3250637617106,318195038257.0263,449782056.1027098
1650,214.24103999137878,4.252031262306502,531.5039077883129,318902344672.9877,453003562.45677924
1653,215.0205478668213,4.280469751981215,535.0587189976519,321035231398.5911,450522021.8634779
1656,215.50241041183472,4.298049360145169,537.2561700181461,322353702010.88763,441817471.7248819
1659,215.74637150764465,4.306949700119648,538.368712514956,323021227508.97363,430587207.7594844
1662,216.43910384178162,4.332222390688053,541.5277988360067,324916679301.604,421173864.5370134
1665,216.87081289291382,4.347972267988694,543.4965334985868,326097920099.15204,416213178.2379719
1668,217.0778431892395,4.355525275636075,544.4406594545094,326664395672.7056,415867896.15343726
1671,217.76851534843445,4.380722805624758,547.5903507030947,328554210421.8568,417753394.08211607
1674,218.20039200782776,4.396478797713912,549.559849714239,329735909828.5434,418851402.7968367
1677,218.55341720581055,4.40935808189311,551.1697602366388,330701856141.9833,418450233.6893822
1680,219.1472671031952,4.431023282088189,553.8779102610237,332326746156.6142,419057754.5316627
1683,219.5794644355774,4.446790973168169,555.8488716460212,333509322987.6127,424327437.27620196
1686,219.83380484580994,4.456069977727494,557.0087472159368,334205248329.5621,435290871.3237016
1689,220.54044365882874,4.481850013081695,560.231251635212,336138750981.12714,447909475.6380607
1692,220.92223620414734,4.495778805464661,561.9723506830826,337183410409.84955,455209952.71511894
1695,221.51366758346558,4.517355771783949,564.6694714729937,338801682883.7962,453272245.63090587
1698,222.15481424331665,4.540746481795442,567.5933102244302,340555986134.6582,445188456.4877213
1701,222.45842051506042,4.551822834063548,568.9778542579435,341386712554.76605,437795951.52333456
1704,222.78550934791565,4.563755891687355,570.4694864609194,342281691876.55164,434144011.9972883
1707,223.53617644309998,4.591142194132891,573.8927742666114,344335664559.9668,431216180.918863
1710,223.90791702270508,4.604704264469602,575.5880330587003,345352819835.22015,425906920.4655827
1713,224.41347694396973,4.623148415008391,577.893551876049,346736131125.62933,420185987.32137954
1716,224.8177261352539,4.63789648467455,579.7370605843188,347842236350.59125,418030664.69322336
1719,225.1256868839264,4.649131699670123,581.1414624587654,348684877475.2593,419704075.8521997
1722,225.81152486801147,4.674152866284838,584.2691082856048,350561464971.36285,422610657.2021542
1725,226.2982075214386,4.691908324632827,586.4885405791034,351893124347.462,426855286.29278326
1728,226.55345916748047,4.701220573461993,587.6525716827491,352591543009.6494,435603165.6274072
1731,227.08438658714294,4.720590196807391,590.0737746009239,354044264760.5544,448756792.96414024
1734,227.5976366996765,4.739314905672642,592.4143632090803,355448617925.4481,459870628.12193924
1737,228.205251455307,4.761482283961657,595.1852854952072,357111171297.12427,461708579.7330744
1740,228.7912073135376,4.782859488925325,597.8574361156657,358714461669.39935,453299808.3092124
1743,229.11543703079224,4.794688238520891,599.3360298151113,359601617889.06683,440323079.602813
1746,229.68804574012756,4.815578504522167,601.9473130652709,361168387839.1625,429995112.91765374
1749,230.16615986824036,4.833021360616406,604.1276700770508,362476602046.2304,426139343.9158268
1752,230.38822054862976,4.841122716055347,605.1403395069184,363084203704.151,427239743.4286101
1755,231.09769868850708,4.867006337492631,608.3757921865789,365025475311.9473,428501782.15669346
1758,231.58260989189148,4.884697168701708,610.5871460877134,366352287652.62805,427077627.3763261
1761,231.96165323257446,4.898525662896411,612.3157078620515,367389424717.23083,425139370.44677246
1764,232.41795182228088,4.915172630990973,614.3965788738717,368637947324.323,426806721.04577214
1767,232.88561034202576,4.932234039097346,616.5292548871682,369917552932.30096,432877700.86123323
1770,233.32742857933044,4.948352725996508,618.5440907495636,371126454449.7381,439922890.6062064
1773,233.8843536376953,4.968670811317849,621.083851414731,372650310848.8387,444250627.65322137
1776,234.45913171768188,4.9896402216444224,623.7050277055528,374223016623.33167,445427806.3206804
1779,234.77272057533264,5.001080764801659,625.1350956002075,375081057360.12445,445014700.86842215
1782,235.30417776107788,5.02046971540179,627.5587144252237,376535228655.1343,442965014.12953824
1785,235.89807224273682,5.042136542148009,630.2670677685012,378160240661.1007,437870077.2070999
1788,236.3170404434204,5.057421599842146,632.1776999802684,379306619988.161,430862924.49061376
1791,236.88445234298706,5.078122272606967,634.7652840758709,380859170445.5225,426091259.72768617
1794,237.01520657539368,5.082892529592645,635.3615661990805,381216939719.44836,425792596.46282715
1797,237.78337597846985,5.110917362087647,638.8646702609558,383318802156.5735,427427503.1353312
1800,238.21261143684387,5.1265769962434415,640.8221245304302,384493274718.2581,427386405.1946914
1803,238.62787055969238,5.141726737060048,642.715842132506,385629505279.50354,425244672.84652185
1806,239.10120487213135,5.158995212954972,644.8744016193715,386924640971.62286,422710839.2011128
1809,239.5323097705841,5.174723049182935,646.8403811478669,388104228688.72015,420705438.69785905
1812,240.1194770336151,5.196144449367708,649.5180561709635,389710833702.57806,419392376.293162
1815,240.41081190109253,5.206773108656027,650.8466385820034,390507983149.2021,419709786.16741884
1818,240.95898580551147,5.226771928952635,653.3464911190795,392007894671.44763,423306175.4102277
1821,241.4217495918274,5.243654764358891,655.4568455448613,393274107326.9168,430970994.1114136
1824,241.82909870147705,5.258515927169079,657.3144908961349,394388694537.6809,440942392.67933273
1827,242.2649528980255,5.274417030235148,659.3021287793936,395581277267.6361,448641551.7634418
1830,243.03905057907104,5.302658141843079,662.8322677303848,397699360638.2309,449554834.2710676
1833,243.27041721343994,5.3110990028656015,663.8873753582002,398332425214.9201,443315019.2011417
1836,244.05018520355225,5.3395469822049915,667.4433727756239,400466023665.3744,434264017.6511787
1839,244.12521028518677,5.342284093755271,667.785511719409,400671307031.6454,428064991.3218089
1842,244.95254611968994,5.372467472689938,671.5584340862423,402935060451.74536,428251086.7883543
1845,245.1635444164276,5.380165243388855,672.5206554236069,403512393254.1641,434663554.38347685
1848,245.61177349090576,5.396517814425057,674.5647268031322,404738836081.87933,443408700.3923694
1851,246.31518864631653,5.422180242303454,677.7725302879317,406663518172.759,449190557.67245424
1854,246.76178240776062,5.4384731528355115,679.8091441044389,407885486462.6634,449489552.3833968
1857,247.14232206344604,5.452356236521978,681.5445295652473,408926717739.1484,446284489.30351806
1860,247.8438401222229,5.477949453344611,684.7436816680764,410846209000.8459,443146498.81241876
1863,248.0640368461609,5.485982806768477,685.7478508460596,411448710507.63574,441312624.3807753
1866,248.65235877037048,5.5074463320183575,688.4307915022947,413058474901.37683,439234768.92900926
1869,249.28818488121033,5.5306429344616195,691.3303668077025,414798220084.62146,435667682.6261556
