Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
2172,296.31809520721436,7.246417285618082,905.8021607022603,543481296421.3562,402078306.3606013
2175,296.6693317890167,7.259231316392688,907.4039145490859,544442348729.45154,392388296.3439468
2178,297.1763074398041,7.2777271164538,909.715889556725,545829533734.035,387120364.705714
2181,297.33093667030334,7.283368395924474,910.4210494905592,546252629694.3356,390032044.8248725
2184,298.0787341594696,7.3106500076238525,913.8312509529817,548298750571.78894,400398387.38957274
2187,298.1860320568085,7.314564516048617,914.3205645060772,548592338703.64624,413380005.3826705
2190,298.8788342475891,7.339839755170415,917.4799693963018,550487981637.7811,422945982.15919167
2193,299.3587603569031,7.357348717086421,919.6685896358026,551801153781.4816,425749181.80030423
2196,299.8239471912384,7.374319951633022,921.7899939541278,553073996372.4767,422979359.44745445
2199,300.1878366470337,7.387595592402522,923.4494490503153,554069669430.1891,418136135.701632
2202,300.7720699310303,7.408909953344839,926.1137441681049,555668246500.8629,413435133.51062346
2205,301.09233117103577,7.4205939224926,927.574240311575,556544544186.945,409114598.92690456
2208,301.6726429462433,7.441765216519597,930.2206520649496,558132391238.9698,405272343.3269831
2211,302.0270812511444,7.454696054541639,931.8370068177048,559102204090.6229,402642224.1822994
2214,302.4542615413666,7.470280710778534,933.7850888473166,560271053308.39,401053930.7319117
2217,302.9129557609558,7.487015077727981,935.8768847159976,561526130829.5985,398302645.12858963
2220,303.38099908828735,7.5040905246233445,938.0113155779181,562806789346.7509,392149087.07514244
2223,303.83137488365173,7.520521413662072,940.0651767077591,564039106024.6554,383920381.1980459
2226,304.25885486602783,7.536117003453962,942.0146254317453,565208775259.0471,379042956.9162918
2229,304.53402972221375,7.5461561031897295,943.2695128987161,565961707739.2297,382433904.54434854
2232,304.96100091934204,7.561733131162718,945.2166413953398,567129984837.2039,393272063.0313312
2235,305.3938157558441,7.577523350410907,947.1904188013633,568314251280.818,405473212.46676695
2238,306.05216455459595,7.601541639520603,950.1927049400754,570115622964.0453,413368164.8360811
2241,306.27723956108093,7.609752965473308,951.2191206841635,570731472410.4982,415738793.5262471
2244,306.86149501800537,7.631068135342128,953.883516917766,572330110150.6597,414689323.1647387
2247,307.3775246143341,7.649894247058716,956.2367808823394,573742068529.4038,412525638.15182424
2250,307.60784244537354,7.658296844987825,957.2871056234782,574372263374.0869,409993549.11278605
2253,308.2785565853119,7.682766254142277,960.3457817677846,576207469060.6708,406191382.3217402
2256,308.64665961265564,7.69619561704179,962.0244521302237,577214671278.1343,399778368.6048269
2259,309.02586817741394,7.710030139043661,963.7537673804577,578252260428.2745,390988048.5396395
2262,309.5930140018463,7.730721104690442,966.3401380863054,579804082851.7831,383238445.0734239
2265,309.93542861938477,7.7432132870943855,967.9016608867981,580740996532.0789,382165645.1813719
2268,310.2286856174469,7.753912070742585,969.2390088428232,581543405305.6938,390801188.4512775
2271,310.6131148338318,7.767937055794357,970.9921319742946,582595279184.5768,405102674.3050952
2274,311.2635884284973,7.791668036825263,973.958504603158,584375102761.8948,416533290.7469622
2277,311.7239329814911,7.808462612261326,976.0578265326658,585634695919.5994,419786004.62295425
2280,312.1436924934387,7.8237765390636795,977.9720673829601,586783240429.776,416227351.7438688
2283,312.564843416214,7.839141228178644,979.8926535223303,587935592113.3982,410154037.44592273
2286,313.06339716911316,7.857329775338688,982.1662219173361,589299733150.4016,404625795.55284
2289,313.5334644317627,7.874479060697339,984.3098825871674,590585929552.3004,401117815.9214505
2292,313.82946705818176,7.885278012061785,985.6597515077232,591395850904.6339,400019240.5886749
2295,314.3908038139343,7.905757047662861,988.2196309578577,592931778574.7145,400264196.6962959
2298,314.7202043533325,7.917774442398228,989.7218052997786,593833083179.8671,400190001.40420824
2301,315.40651535987854,7.942812866111678,992.8516082639599,595710964958.3759,399308227.9050466
2304,315.4706425666809,7.945152394634699,993.1440493293375,595886429597.6025,398197789.3902899
2307,316.1773633956909,7.970935422147149,996.3669277683937,597820156661.0361,397379621.89192086
2310,316.6317894458771,7.987514075093796,998.4392593867246,599063555632.0348,397491311.1256598
2313,316.85382080078125,7.9956143606622,999.4517950827751,599671077049.665,399140429.57553685
2316,317.3854970932007,8.015011304847885,1001.8764131059856,601125847863.5914,401380223.4794082
2319,317.932475566864,8.034966512698395,1004.3708140872993,602622488452.3796,401837208.84489787
2322,318.29873490333557,8.048328612924259,1006.0410766155323,603624645969.3193,398861882.6595621
2325,318.654239654541,8.061298357701665,1007.6622947127081,604597376827.6249,392446254.01032233
2328,319.3012537956238,8.084903128801804,1010.6128911002254,606367734660.1353,384313495.57692844
2331,319.51819896698,8.092817857068134,1011.6022321335167,606961339280.11,378723402.53994656
2334,320.0950994491577,8.113864698187518,1014.2330872734399,608539852364.0638,381050757.81019056
2337,320.20458364486694,8.117858968505127,1014.7323710631408,608839422637.8845,392525882.44196606
2340,320.78792333602905,8.13914072883955,1017.3925911049439,610435554662.9663,407013890.73507756
2343,321.3435597419739,8.159411800744227,1019.9264750930283,611955885055.817,415400489.10878813
2346,321.7966351509094,8.175941178759253,1021.9926473449066,613195588406.944,413302022.2539917
2349,322.2380084991455,8.192043634939544,1024.005454367443,614403272620.4658,403704929.3219028
2352,322.6711735725403,8.20784663174723,1025.9808289684038,615588497381.0422,393211157.1031277
